Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
365,12-02-18,Lending Kart,FiNot specifiedce,Online Lending Platform,Bangalore,Fullerton FiNot specifiedcial Holdings Pte Ltd & Others,Private Equity,Not specified,87
369,13-02-18,Awaaz De,Technology,Mobile Solutions for Social Impact,Ahemadabad,Tribe Impact Capital LLP,Seed / Angle Funding,Not specified,0
368,13-02-18,HolaChef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,Not specified,0.3112
370,13-02-18,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bangalore,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,Not specified,13.5
372,14-02-18,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,Not specified,0.1
373,14-02-18,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,Not specified,0.5
371,14-02-18,Littlemore,Ed-Tech,Online Education Platform,ChenNot specifiedi,Kalpavriksh,Private Equity,Not specified,3
374,14-02-18,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,Not specified,5
116,14-02-18,OYO Rooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Equity,Not specified,100
375,15-02-18,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,Not specified,0.148434
376,15-02-18,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,Not specified,6.23
378,16-02-18,Fincash,FiNot specifiedce,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Not specifiedrayan & Others",Seed / Angel Funding,Not specified,0.15
377,16-02-18,happay,FiNot specifiedce,Expense MaNot specifiedgement,Bangalore,Sequoia and Jerry Yang,Seed / Angel Funding,Not specified,0.25
379,19-02-18,Aye FiNot specifiedce,FiNot specifiedce,Online Lending,Gurugram,"Hinduja Leyland FiNot specifiedce, IntelleGrow",Private Equity,Not specified,3.8
380,20-02-18,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,Not specified,0.5
384,21-02-18,High Radius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,Not specified,0
383,21-02-18,The Healthy Billions,Healthcare,ANot specifiedlytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,Not specified,2.1
382,21-02-18,Capillary Tech,IT,SaaS,Bangalore,"Wargburg Pincus, Sequoia",Private Equity,Not specified,20
381,21-02-18,Udaan,E-Commerce,B2B Marketplace,Bangalore,Lightspeed & Yuri Milner,Private Equity,Not specified,50
385,26-02-18,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,Not specified,0.7725
386,26-02-18,Planys Technologies,Technology,Robotic InspectionStartup,ChenNot specifiedi,"Kris GopalakrishNot specified, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,Not specified,1.04
387,27-02-18,Lollypop,Technology,Digital Design,Bangalore,Dr Devi Shetty,Seed / Angel Funding,Not specified,0
388,27-02-18,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,Not specified,0.25
391,28-02-18,Predible Health,Healthcare,Cancer radiology,Bangalore,Unitus Seed Fund,Seed/Angel Funding,Not specified,0
390,28-02-18,Credy,IT,SaaS,Bangalore,"Y CombiNot specifiedtor, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,Not specified,1.4
389,28-02-18,GaaNot specified.com,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,Not specified,115
316,01-03-18,PharmEasy,Consumer Internet,Online Pharmacy Store,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM FiNot specifiedcials and MEMG",Private Equity,Not specified,0
317,01-03-18,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,Not specified,3
318,01-03-18,Urban Ladder,E-Commerce,Online Furniture Store,Bangalore,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,Not specified,12
319,03-03-18,Kuvera,Consumer Internet,Online FiNot specifiedcial Planning,Bangalore,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,Not specified,0.25
320,04-03-18,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,Not specified,1
325,04-03-18,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,Not specified,1.1
321,05-03-18,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,Not specified,2.1
